participant,work,acqaintance,difficulty
e1,1,1,3
e1,2,3.5,4
e1,3,1,2
e1,4,1,1
e1,5,1,1
e1,6,1,1
e1,7,1,1
e1,8,2,3
e2,1,1.5,2
e2,2,1.5,2
e2,3,2,3
e2,4,1.5,3
e2,5,1.5,4
e2,6,2,2
e2,7,3.5,2
e2,8,4,2
e3,1,1,1
e3,2,1,1
e3,3,1,2
e3,4,1,1
e3,5,1,1
e3,6,1,1
e3,7,1,2
e3,8,1,2
e4,1,1.5,2
e4,2,1.5,2
e4,3,1.5,1.5
e4,4,1.5,2
e4,5,1,1.5
e4,6,1,1.5
e4,7,1.25,2.5
e4,8,1,3
e5,1,1.5,3.5
e5,2,2,3.5
e5,3,2,3
e5,4,1.5,3
e5,5,1.5,2.5
e5,6,1.5,2
e5,7,3.5,1
e5,8,1.5,3
e6,1,2,1.5
e6,2,1,1.5
e6,3,1,2
e6,4,1,1.5
e6,5,1,1
e6,6,1,1.5
e6,7,4,2
e6,8,1,1.3
e7,1,1.5,1.5
e7,2,1.5,2.0
e7,3,1.5,2.5
e7,4,1.5,2.0
e7,5,1.5,1.5
e7,6,1.5,3
e7,7,1.5,1
e7,8,1.5,2.0
e8,1,2,3
e8,2,1,2
e8,3,1,2
e8,4,1,1
e8,5,1,1
e8,6,1,2
e8,7,1,3
e8,8,2,2
n1,1,1,3.5
n1,2,1,4
n1,4,1,2
n1,5,1,2.5
n1,7,1,2
n1,8,1,2.5
n10,1,1,3
n10,2,N/A,N/A
n10,3,1,3
n10,4,1,4
n10,5,N/A,N/A
n10,6,N/A,N/A
n10,7,N/A,N/A
n10,8,N/A,N/A
n11,1,1,2.5
n11,2,1,2.5
n11,3,1,2
n11,4,1,1
n11,5,1,2
n11,6,1,2
n11,7,1,1
n11,8,1,3
n12,1,1.5,2.5
n12,2,1.5,3.5
n12,3,1.5,2
n12,4,1.5,3
n12,5,1.5,2
n12,6,1.5,2.5
n12,7,1.5,2.5
n12,8,1.5,3.5
n13,1,1.5,4
n13,2,1.5,3
n13,3,1.25,4
n13,4,1.25,2.5
n13,5,1.25,3
n13,6,1.25,3
n13,7,1.25,2
n13,8,1.25,4
n2,1,1,2.5
n2,2,1,3
n2,4,1,3
n2,5,1,2
n2,7,1,1.5
n2,8,1,2.5
n3,1,1,2
n3,2,1,4
n3,4,1,1
n3,5,1,1
n3,7,1,1
n3,8,2,4
n4,1,1,4
n4,2,1,3.5
n4,4,1,1
n4,5,1,2
n4,7,1,2.5
n4,8,1,4
n5,1,1,2
n5,2,1,4
n5,4,1,3.5
n5,5,1,2.5
n5,6,1,3
n5,7,1,1.5
n5,8,1,4
n6,1,1,2
n6,2,1.5,3
n6,3,1,1
n6,4,1,1.5
n6,5,1,1.25
n6,6,1,2
n6,7,1,1
n6,8,1,4
n7,1,1,2
n7,2,1,3
n7,3,1,1
n7,4,1,3
n7,5,1,1
n7,6,1,1
n7,7,1,2.5
n7,8,2,4
n8,1,1,3
n8,2,1,3
n8,3,1,2
n8,4,1,3
n8,5,1,2
n8,6,2,2
n8,7,2,2
n8,8,1,3
n9,1,1,3
n9,2,1,2
n9,3,1,1.5
n9,4,1,3
n9,5,N/A,N/A
n9,6,N/A,N/A
n9,7,N/A,N/A
n9,8,1,1.5
s2,6,1,1.5
s3,3,1,2.5
s4,3,1,2
s4,6,1,2
