measure,quarter note,timestamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n11,n12,n13,e1,e2,e3,e4,e5,e6,e7,e8,reference
1,1,2,,,,,,,,,,,,,,,,,,,,,
1,2,2.25,,,,,,,,,,,,,,,,,,,,,
1,3,2.5,,,,,,,,,,,,,,,,,,,,,
1,4,2.75,,,,,,,,,,,,,,,,,,,,,
1,5,3,,,,,,,,,,,,,,,,,,,,,
1,6,3.25,,,,,,,,,,,,,,,,,,,,,
1,7,3.5,,,,,,,,,,,,,,,,,,,,,
1,8,3.75,,,,,,,,,,,,,,,,,,,,,
2,1,4,,,,,,,,,,,,,,,,,,,,,
2,2,4.375,,,,,,,,,,,,,,,,,,,,,
2,3,4.75,,,,,,,,,,,,,,,,,,,,,
2,4,5.125,,,,,,,,,,,,,,,,,,,,,
2,5,5.5,,1,,,,,,,,,,,,,,,,,,,
2,6,5.875,,,,,,,,,,,,,,,,,,,,,
2,7,6.25,,,,,,,,,,,,,,,,,,,,,
2,8,6.625,,,,,,,,,,,,,,,,,,,,,
3,1,7,,,,,,,,,1,,,,,,,,,,,,
3,2,7.375,,,,,,,,,,,,,,,,,,,,,
3,3,7.75,,,,,,,,,,,,,,,,,,,,,
3,4,8.125,,,,,,,,,,,,,,,,,,,,,
3,5,8.5,,,,,,,,,,,,,,,,,,,,,
3,6,8.875,,,,,,,,,,,,,,,,,,,,,
3,7,9.25,,,,,,,,,,,,,,,,,,,,,
3,8,9.625,,,,,,,,,,,,,,,,,,,,,
4,1,10,,,,,,,,1,,,,,,,,,,,,,
4,2,10.3125,,,,,,,,,,,,,,,,,,,,,
4,3,10.625,,,,,,,,,,,,,,,,,,,,,
4,4,10.9375,,,,,,,,,,,,,,,,,,,,,
4,5,11.25,,1,,,,,,,,,,,,,,,,,,,
4,6,11.5625,,,,,,,,,,,,,,,,,,,,,
4,7,11.875,,,,,,,,,,,,,,,,,,,,,
4,8,12.1875,,,,,,,,,,,,,,,,,,,,,
5,1,12.5,,,,,,,,,,,,,,,,,,,,,
5,2,12.8125,,,,,,,,,,,,,,,,,,,,,
5,3,13.125,,,,,,,,,,,,,,,,,,,,,
5,4,13.4375,,,,,,,,,,,,,,,,,,,,,
5,5,13.75,,,,,,,,,,,,,,,,,,,,,
5,6,14.0625,,,,,,,,,,,,,,,,,,,,,
5,7,14.375,,,,,,,,,,,,,,,,,,,,,
5,8,14.6875,,,,,,,,,,,,,,,,,,,,,
6,1,15,,,,,,,,1,,,,,,,,,,,,,
6,2,15.375,,,,,,,,,,,,,,,,,,,,,
6,3,15.75,,,,,,,,,,,,,,,,,,,,,
6,4,16.125,,,,,,,,,,,,,,,,,,,,,
6,5,16.5,,,,,,,,,,,,,,,,,,,,,
6,6,16.875,,,,,,,,,,,,,,,,,,,,,
6,7,17.25,,,,,,,,,,,,,,,,,,,,,
6,8,17.625,,,,,,,,,,,,,,,,,,,,,
7,1,18,,1,,,,,,,,,,,,,,,,,,,
7,2,18.375,,,,,,,,,,,,,,,,,,,,,
7,3,18.75,,,,,,,,,,,,,,,,,,,,,
7,4,19.125,,,,,,,,,,,,,,,,,,,,,
7,5,19.5,,,,,,,,,,,,,,,,,,,,,
7,6,19.875,,,,,,,,,,,,,,,,,,,,,
7,7,20.25,,,,,,,,,,,,,,,,,,,,,
7,8,20.625,,,,,,,,,,,,,,,,,,,,,
8,1,21,,1,,,,,,,,,,,,,,,,,,,
8,2,21.25,,,,,,,,,,,,,,,,,,,,,
8,3,21.5,,,,,1,,,1,,,,,,,,,,,,,
8,4,21.75,,,,,,,,,,,,,,,,,,,,,
8,5,22,,,,,,,,,,,,,,,,,,,,,
8,6,22.25,,,,,,,,,,,,,,,,,,,,,
8,7,22.5,,,,,,,,,,,,,,,,,,,,,
8,8,22.75,,,,,,,,,,,,,,,,,,,,,
9,1,23,,,,,,,,,,,,,,,,,,,,,
9,2,23.3125,,,,,,,,,,,,,,,,,,,,,
9,3,23.625,,,,,,,,,,,,,,,,,,,,,
9,4,23.9375,,,,,,,,,,,,,,,,,,,,,
9,5,24.25,,,,,,,,,,,,,,,,,,,,,
9,6,24.5625,,,,,,,,,,,,,,,,,,,,,
9,7,24.875,,1,,,,,,,,,,,,,,,,,,,
9,8,25.1875,,,,,,,,,,,,,,,,,,,,,
10,1,25.5,,,,,,,,,,,,,,,,,,,,,
10,2,25.8125,,,,,,,,,,,,,,,,,,,,,
10,3,26.125,,,,,,,,,,,,,1,,,,,,,,
10,4,26.4375,,,,,,,,,,,,,,,,,,,,,
10,5,26.75,1,,,,,1,,,,,,,,,,,,,,,
10,6,27.0625,,,,,,,,,,,,,,,,,,,,,
10,7,27.375,,,,,,,,,,,,,,,,,,,,,
10,8,27.6875,,,,,,,,,,,,,,,,,,,,,
11,1,28,,,,,,,,,,,,1,,,,,,,,,
11,2,28.375,,,,,,,,,,,,,,,,,,,,,
11,3,28.75,,,,,,,,,,,,,,,,,,,,,
11,4,29.125,,,,,,,,,,,,,,,,,,,,,
11,5,29.5,,,,,,,,,,,,,,,,,,,,,
11,6,29.875,,,,,,,,,2,,,,1,1,2,,3,1,1,2,
11,7,30.25,,,,,,,,1,,,,,,,,,,,,,
11,8,30.625,,,,2,,,2,,,,,,,,,,,,,,
12,1,31,1,1,,,1,,,,,1,,,,,,,,,,,2
12,2,31.375,,,,,,1.5,,,,,,,,,,,,,,,
12,3,31.75,,,,,,,,,,,,,,,,,,,,,
12,4,32.125,,,,,,,,,,,,,,,,,,,,,
12,5,32.5,,,,,,,,,,,1,,,,,,,,,,
12,6,32.875,,,,,,,,,,,,,,,,,,,,,
12,7,33.25,,1,,,1,,,,,,,,,,,,,,,,
12,8,33.625,,,,,,,,,,,,,,,,,,,,,
13,1,34,,,,,,,,,,,,,,,,,,,,,
13,2,34.375,,,,,,,,,,,,,,,,,,,,,
13,3,34.75,,,,,,,,,,,,,,,,,,,,,
13,4,35.125,,,,,,,,,,,,,,,,,,,,,
13,5,35.5,,,,,,,,,,,,,,,,,,,,,
13,6,35.875,,,,,,,,,,,,,,,,,,,,,
13,7,36.25,,,,,,,,,,,,,,,,,,,,,
13,8,36.625,,,,,,,,,,,,,,,,,,,,,
14,1,37,,,,,,,,,,,,,,,,,,,,,
14,2,37.375,,,,,,,,,,,,,,,,,,,,,
14,3,37.75,,,,,,,,,,,,,,,,,,,,,
14,4,38.125,,,,,,,,,,,,,,,,,,,,,
14,5,38.5,,,,,,,,,,,,,,,,,,,,,
14,6,38.875,,,,,,,,,,,,,,,,,,1,,1.5,
14,7,39.25,,1,,,,,2,2,,,,,,,1,,,,,,
14,8,39.625,,,,,,,,,,,,,,,,,,,,,
15,1,40,,,,,,,,,,,,,,,,,,,,,
15,2,40.3125,,,,,,,,,,,,,,,,,,,,,
15,3,40.625,,,,,,,,,,,,,,,,,,,,,
15,4,40.9375,,,,,,,,,,,,,,,,,,,,,
15,5,41.25,,,,,,,,,,,,,,,,,,,,,
15,6,41.5625,,,,,,,,,,,,,,,,,,,,,
15,7,41.875,,,,,,,,,,,,1,,,,,,,,,
15,8,42.1875,,,,,,,,,,,,,,,,,,,,,
16,1,42.5,,,,,,,,,,,,,,,,,,,,,
16,2,42.8125,,,,,,,,,,,,,,,,,,,,,
16,3,43.125,,,,,,,,,,,,,,,,,,,,,
