measure,quarter note,timestamp,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,e1,e2,e3,e4,e5,e6,e7,e8,reference
1,1,0,,,,,,,,,,,,,,,,,,,,,,
1,2,0.5,,,,,,,,,,,,,,,,,,,,,,
1,3,1,,,,,,,,,,,,,,,,,,,,,,
1,4,1.5,,,,,,,,,,,,,,,,,,,,,,
1,5,2,,,,,,,,,,,,,,,,,,,,,,
1,6,2.5,,,,,,,,,,,,,,,,,,,,,,
1,7,3,,,,,,,,,,,,,,,,,,,,,,
1,8,3.5,,,,,,,,,,,,,,,,,,,,,,
2,1,4,,1,,,,,,,,,,,,,,,,,,,,
2,2,4.375,,,,,,,,,,,,,,,,,,,,,,
2,3,4.75,,,,,,,,,,,,,,,,,,,,,,
2,4,5.125,,,,,,,,,,,,,,,,,,,,,,
2,5,5.5,,,,,,,,,,,,,,,,,,,,,,
2,6,5.875,,,,,,,,,,,,,,,,,,,,,,
2,7,6.25,,,,,,,,,,,,,,,,,,,,,,
2,8,6.625,,,,,,,,,,,,,,,,,,,,,,
3,1,7,1,,,,,,,,,,,,,,,,,,,,,
3,2,7.375,,,,,,,,,,,,,,,,,,,,,,
3,3,7.75,,,,,,,,1,,,,,,,,,,,,,,
3,4,8.125,,,,,,,,,,,,,,,,,,,,,,
3,5,8.5,,,,,,,,,,,,,,,,,,,,,,
3,6,8.875,,,,,,,,,,,,,,,,,,,,,,
3,7,9.25,,,,,,,,,,,,,,,,,,,,,,
3,8,9.625,,,,,,,,,,,,,,,,,,,,,,
4,1,10,,1,,,,,,,,,,,,,,1,,,,,,
4,2,10.375,,,,,,,,1,,,,,,,,,,,,,,
4,3,10.75,,1,,,,,,,,,,,,,,,,,,,,
4,4,11.125,,,,,,,,,1,,,1,,,,,,,,,,
4,5,11.5,,,,,,,,,,,,,,,,,,,,,,
4,6,11.875,,,,,,,,,,,,,,,,,,,,,,
4,7,12.25,,,,,,,,,,,,,,,,,,,,,,
4,8,12.625,,,,,,,,,,,,,,,,,,,,,,
5,1,13,,,,,,,,,,,,,,,,,,,,,,
