measure,quarter note,timestamp,n1,n2,n3,n4,n5,n6,n7,n8,n11,n12,n13,e1,e2,e3,e4,e5,e6,e7,e8,reference
1,1,2,,,,,,,,,,,,,,,,,,,,
1,2,2.75,,,,,,,,,,,,,,,,,,,,
1,3,3.5,,,,,,,,,,,,,,,,,,,,
1,4,4.25,,,,,,,,,,,,,,,,,,,,
2,1,5,,,,,,,,,,,,,,,,,,,,
2,2,5.5,,,,,,,,,,,,,,,,,,,,
2,3,6,,,,,,,,,,,,,,,,,,,,
2,4,6.5,,,,,,,,,,,,,,,,,,,,
3,1,7,,,,,,,,,,,,,,,,,,,,
3,2,7.75,,,,,,,,,,,,,,,,,,,1,
3,3,8.5,,,,,,,,,,,,,,,,,,,,
3,4,9.25,,,,,,1,,1,,,,,,,,,,,,
4,1,10,,,,,,,,,,,,,,,,,,,,
4,2,10.5,,,,,,,,,,,,,,,,,,,,
4,3,11,,,,,,,,,,,,,,,,,,,,
4,4,11.5,,,,,,,,,,,,,,,,,,,,
5,1,12,,,,,,,,,,,,,,,,,,,,
5,2,12.75,,,,,,,,1,,,,,,,,,,,,
5,3,13.5,,,,,,,,,,,,,,,,,,,,
5,4,14.25,1,,,,,,1,,,1,,,,1,,,1,,1,
6,1,15,,1,,,,,,,,,,,,,,,,,,
6,2,15.5,,,,,,,,,,,,,,,,,,,,
6,3,16,,,,,,,,,,,,,,,,,,,,
6,4,16.5,,,,,,,,,,,,,,,,,,,,
7,1,17,,,,,,,,,,,,,,,,,,,,
7,2,17.5,,,,,,,1,,,,,,,,,,,,,
7,3,18,,,,,,,,,,,,1,,,1,1,1,1,2,
7,4,18.5,1,,1,,1,1.5,,1,1,,,,2,,,,,,,1
8,1,19,,,,1,,,,,,1,,,,1,,,,,,
8,2,19.75,,,,,,,,,,,,,,,,,,,,
8,3,20.5,,,,,,,,,,,2,,,,,,,,,
8,4,21.25,,,,,,,,,,,,,,,,,,,,
9,1,22,,,,,1,,,,,,,,,,,,,,,
9,2,22.5,,,,,,,,,,,,,,,,,,,,
9,3,23,,,,,,,,,,,,,,,,,,,,
9,4,23.5,,,,,,,1,,1,,,,,,,,,,,
10,1,24,,,,,,,,,,,,,,,,,,,,
10,2,24.5,,,,,,,,,,,,,,,,1,,,,
10,3,25,,,,,,,,,,,,,,,,,,,,
10,4,25.5,,,,,,,,,,,,,,,,,,,,
11,1,26,,,,,,,,1,,,,,,,,,,,,
11,2,26.75,,,,,,,,,,,,,,,,,,,,
11,3,27.5,,,,,,,,,,,,,,,,,,,,
11,4,28.25,,1,,,,,,,,,,,,,,1,1,,,
12,1,29,,,,1,,1,,,,,,,,,1,,,,,
12,2,29.75,1,,,,,,,,,,,,,,,,,,1,
12,3,30.5,,,,,,,,,,,,,,1,,,,,,
12,4,31.25,,,,,,,,,,,,,,,,,,,,
13,1,32,,,,,,,,,,,,,,,,,,,,
13,2,32.75,,,,,,,,,,,,,,,,,,,,
13,3,33.5,,,,,1,,,1,,,,,,,,,,,,
13,4,34.25,,,,,,,,,,,,,,,,,,,,
14,1,35,,,,,,,,,,,,1,,,1,1,1,,,
14,2,35.75,,,,,,,,,1,,,,,1,,,,1,1.5,1
14,3,36.5,,,1,1,,,1,,,,,,,,,,,,,
14,4,37.25,,,,,,,,,,,,,,,,,,,,
15,1,38,,,,,,,,,,,,,,,,,,,,
15,2,38.5,,,,,,1,,,,,,,,,,,,,,
15,3,39,,,,,,,,,,,1,,,,,,,,,
15,4,39.5,,,,,,,,,,,,,,,,,,,,
16,1,40,,,,,,,,,,,,,,,,,,,,
16,2,40.5,,,,,,,,,,,,,,,,,,,,
16,3,41,,,,,,,,,,,,,,,,,,,,
16,4,41.5,,,,,,,,,,,,,,,,,1,,,
17,1,42,,,,,,,,,,,,,,,,,,,,
17,2,42.5,,,,,,,,,,,,,,,,,,,,
17,3,43,,,,,,,,,,,,,,,,,,,,
17,4,43.5,,,,,,,,,,,,,,,,,,,,
18,1,44,,,,,,,,,,1,,,,,,,,,,
18,2,44.75,,,,,,,,,,,,,,,,,,,,
18,3,45.5,,,,,,,,,,,,,,,,,,,,
18,4,46.25,2,1,,,,,1,,,,,1.5,,,,,1,,1,
19,1,47,,,,,,2,,1,1,,,,2,,1,1,,,,
19,2,47.75,,,,,,,,,,,,,,1,,,,1,,
19,3,48.5,,,,,,,,,,,,,,,,,,,,
19,4,49.25,,,,,,,,,,,,,,,,,,,,
20,1,50,,,,,,,,,,,,,,,1.5,,,,2,
20,2,50.625,,,,,,,,,,,,2.5,2,2,,2.5,3,2,,
20,3,51.25,3,,3,3,3,,3,2,2,2,,,,,,,,,,2
20,4,51.875,,,,,,1,,,,,1.5,,,,,,,,,
21,1,52.5,,,,,,,,,,,,,,,,,,,,
21,2,53.125,,1,,,,,,,,,,,,,,,,,,
21,3,53.75,,,,,,,,,,,,,,,,,,,,
21,4,54.375,,,,,,,,,,,,,,,,,,,,
22,1,55,,,,,,,,,,,,,,,,,,,,
22,2,55.75,,,,,,,,,,,,,,,,,,,,
22,3,56.5,,,,,,,,,,,,,,,,1,,,,
22,4,57.25,,,,,,,,,,,,,,,,,,,,
23,1,58,,,,,,,,,,,,,,,,,,,,
23,2,58.5,,,,,,,1,,,,,,,,,,,,,
23,3,59,,,,,,,,,,,,,,,,,,,,
23,4,59.5,,,,,,,,,,,,,,,,,,,,
24,1,60,,,,,,,,,,,,,,,,,,,,
24,2,60.75,,,,,,,,,,,,,,,,,,,,
24,3,61.5,,,,,,,,,,,,,,,,,,,,
24,4,62.25,,,,,,,,,,,,,,,,,,,,
25,1,63,,,,,,,,,,,,,,,,,,,,
25,2,63.5,,,,,,,,,,,,,,,,,,,,
25,3,64,,,,,,,,,,,,,,,,1,,,1.5,
25,4,64.5,2,,,,,,1,1,,,,,1,,1.5,,2,1,,1
26,1,65,,,,,,,,,,,,,,,,,,,,
26,2,65.75,,,,,,,,,,,,,,1,,,,,,
